query_id,query,query_type,query_source,primary_category,gold_doc_id,gold_section_id,top1_doc_id,top1_section_id,rank_of_gold_section,rank_of_gold_doc,matched_section,matched_doc,latency_ms
0035bbca-a1fd-4d96-891f-5a5d9f8f3c66,In what ways do large financial institutions influence market equilibrium prices?,abstractive,text-image,q-fin.TR,2404.08757v2,1,2404.08757v2,6,2,1,True,True,6293.9
0037d2b2-ab5a-435a-8554-c2e7fd81b390,How do sectoral productivity shocks influence overall economic output?,abstractive,text,econ.TH,2404.18137v2,0,2404.18137v2,0,1,1,True,True,930.1
00707172-75cc-498a-b86d-6cacf6917d78,What dataset is used for consistent pronunciation from a single native speaker?,extractive,text,cs.SD,2410.14997v2,6,2410.14997v2,6,1,1,True,True,782.0
00f1f703-087e-4808-b838-07c819e68335,What is the correlation between the tax instrument and recovered tax shock during the Great Moderation?,abstractive,text,econ.EM,2403.08753v2,11,2403.08753v2,11,1,1,True,True,816.0
0103999e-e3b1-4aaa-8513-016c04344183,What role do Parsimony Anomalous Gene Trees (PAGTs) play in evaluating phylogenetic trees?,abstractive,text-image,q-bio.PE,2407.02634v3,9,2407.02634v3,8,2,1,True,True,524.0
010ee499-211a-4195-a32b-15ce468c3588,For which data-generating process does the conditional confidence interval have a coverage frequency different from that of the conventional confidence interval?,abstractive,text-table,econ.EM,2403.00422v2,17,2403.00422v2,17,1,1,True,True,407.6
01143e90-d880-4e06-b81d-fded20cc3a4a,Can the infimum in the representation of $\psi(x)$ be attained if $\psi(x)<\infty$?,extractive,text,math.ST,2403.06613v3,4,2403.06613v3,7,2,1,True,True,262.2
019e5052-ef2b-44d3-9748-8f8d0038e528,What does a decrease in both Rényi entropy and BSQ indicate about spectrogram quality?,abstractive,text-table-image,cs.LG,2406.11917v2,21,2406.11917v2,21,1,1,True,True,405.4
02205406-1428-4f9d-93f0-360c574805b7,How do the concepts of Deligne's conjecture extend to quantum analogs within mathematical categories?,abstractive,text-table-image,math.QA,2402.03637v2,3,2402.03637v2,3,1,1,True,True,378.6
02bcc959-051f-4595-bd71-338b7eba4f51,How does the distribution of nodule sizes impact the outcomes of a virtual screening trial?,abstractive,text-image,eess.IV,2404.11221v4,19,2404.11221v4,10,9,1,True,True,514.0
030759dd-8872-49f0-869c-be7c5a9cebb9,What is Task Level Pipelining (TLP) used for in FPGA acceleration?,abstractive,text,physics.flu-dyn,2411.16245v2,7,2411.16245v2,7,1,1,True,True,430.5
035796ee-ceff-4f2c-8dfb-e0eac56af728,"Is oxRNA more accurate than oxDNA in reproducing RNA's structural, mechanical, and thermodynamic properties?",extractive,text,physics.bio-ph,2411.09216v2,10,2411.09216v2,10,1,1,True,True,341.0
06c18504-f6c2-43bf-94c0-70c15c3c201e,What methodologies are employed to achieve specific melting temperatures for DNA structures under various conditions?,abstractive,text-image,physics.bio-ph,2411.09216v2,5,2411.09216v2,5,1,1,True,True,544.3
0722fef4-627d-40b8-aca6-c551a40f737e,What is the attractive force formula in the Fruchterman-Reingold force model?,extractive,text,cs.CG,2412.20317v3,30,2412.20317v3,2,,1,False,True,398.2
077c0aa1-4c33-46cf-8c3b-7b616672e8c1,Can trichoblast patterning be decoupled from cortical clefts without changes to the cortical signal or receptor?,extractive,text,q-bio.MN,2412.11338v2,20,2412.11338v2,20,1,1,True,True,382.2
07efe123-2864-48ed-b922-f15ef3a57915,What motivates the focus on the generalization gap in studying neural network behavior?,abstractive,text,cs.CL,2411.00816v2,43,2411.00816v2,56,2,1,True,True,358.6
080e75f0-9863-4bbb-8ada-3a2f5e5890b1,How does strategy-proofness relate to group strategy-proofness in school choice mechanisms?,abstractive,text-image,econ.TH,2406.01398v4,8,2406.01398v4,2,6,1,True,True,446.7
081a3106-1355-42b7-ba51-ac45a47dc3ed,What are the key hyperparameters used in training models for protein function prediction and PPI link prediction?,abstractive,text-table,q-bio.BM,2411.08909v3,30,2411.08909v3,30,1,1,True,True,392.7
0860c0a4-ec48-4c3b-85c8-5fc27d2f290f,Does proper prompt engineering affect schema matching results using large models?,extractive,text,cs.DB,2408.14507v2,3,2408.14507v2,7,2,1,True,True,471.1
08c17de9-0930-4665-a7a2-f95c061730fe,How does conditional rank-rank regression differ from traditional rank-rank regression?,abstractive,text,econ.EM,2407.06387v3,0,2407.06387v3,0,1,1,True,True,257.7
0920cb6c-229b-4b46-b2ab-834dffea6689,How do implementation shortfall (IS) and target close (TC) orders differ in trading strategies?,abstractive,text,q-fin.TR,2401.03305v2,2,2401.03305v2,9,2,1,True,True,541.9
097b7b88-c1f0-4606-8512-c4ac3fd5b59e,Does the structural STVAR model allow for capturing nonlinearities in the effects of CPU shocks?,extractive,text,econ.EM,2404.19707v4,11,2404.19707v4,1,3,1,True,True,355.1
09a3c188-0bb9-4c84-881a-fdadc84ca4e5,Are random Reed-Solomon codes optimally list-decodable in the large q regime?,extractive,text,cs.IT,2406.02238v6,9,2406.02238v6,9,1,1,True,True,394.6
09a82aff-63f2-4955-99b2-5e0255226bba,At what collision energy does the cross-section stabilize around 100 Å² for all transitions?,extractive,text-image,astro-ph.EP,2409.04439v3,18,2409.04439v3,19,2,1,True,True,343.0
0a6e1067-15be-4e59-bce0-a3b9b03924aa,Is trapped speculation associated with safe nesting conditions?,extractive,text-image,cs.PL,2405.10089v2,181,2405.10089v2,16,2,1,True,True,399.7
0a8c5eaa-1fef-450d-8499-5c7a9148e8de,What role do collinear arrangements play in determining common intersections among disks?,abstractive,text-image,cs.CG,2403.08977v2,4,2403.08977v2,1,2,1,True,True,388.2
0a8ffa1c-e76a-4b0d-ae67-4d747a39a279,Are trace-invariants unitarily invariant polynomials?,extractive,text,math-ph,2410.00908v2,6,2410.00908v2,6,1,1,True,True,388.7
0b2d3db6-d273-4dd4-9671-97161d8568b3,Does the conditional generation process ensure that generated orders are realistic?,extractive,text,q-fin.CP,2409.07486v2,4,2409.07486v2,4,1,1,True,True,372.7
0ba12832-6d3c-4e90-8f97-3143fc7ee88f,What threshold percentage is used in the Generalized Pareto Distribution (GPD) model?,extractive,text-table-image,q-fin.RM,2411.13384v2,8,2411.13384v2,8,1,1,True,True,406.8
0c2f0d36-a9fc-46de-b776-a9a722b874d7,How do ETS models assign weights to past observations?,abstractive,text-table,stat.AP,2405.17070v2,8,2405.17070v2,8,1,1,True,True,390.0
0c5eeb67-8acd-48a4-8c88-c1c5faf1b2a3,What year did the F-BIAS network start?,extractive,text-table,q-bio.OT,2409.15009v2,3,2409.15009v2,2,3,1,True,True,259.5
0c627b97-cbef-4bbc-ba9a-83f2e9c6a9e8,Is there a definition for a simplicial out-q-degree rich-club coefficient?,extractive,text,q-bio.NC,2409.09862v3,89,2409.09862v3,89,1,1,True,True,404.4
0c695ab2-c477-4c7e-9742-20b2b7feb68c,Why are second moments important when analyzing point processes?,abstractive,text-image,stat.ML,2408.07372v2,3,2408.07372v2,2,2,1,True,True,637.7
0cc52d57-c698-481f-8113-2eebdc3799e1,What is a social welfare function in economics?,extractive,text-image,econ.TH,2408.04814v3,3,2410.09555v2,9,,2,False,True,403.4
0e153cbf-a237-4129-86ac-db0101f5fba4,How do Weibull and Rayleigh distributions aid in target detection for SAR images?,abstractive,text-table-image,cs.CV,2410.03816v2,5,2410.03816v2,0,2,1,True,True,378.4
0ea976f5-e751-4193-aeb8-3e7c31df1950,Can anthropomorphic phantoms and simulated images from the VLST be requested online?,extractive,text,eess.IV,2404.11221v4,13,2404.11221v4,13,1,1,True,True,390.1
0f0c2f86-f575-4a64-9fde-100fd5b888e2,Which crypto asset has a beta-sigma range extending beyond 5?,extractive,text-image,q-fin.RM,2411.05803v4,21,2411.05803v4,10,7,1,True,True,386.1
0fd5317d-da74-4784-b74f-7f9b7314f281,"Which statistical distributions are used to model land clutter in SAR images, and why?",abstractive,text,cs.CV,2410.03816v2,0,2410.03816v2,4,2,1,True,True,390.1
10aa08ee-fabb-4c98-9b0b-28f2d02075ff,Are host samples classified more accurately than soil or aquatic ones?,extractive,text-table-image,q-bio.GN,2405.05998v3,3,2405.05998v3,3,1,1,True,True,391.1
10ae9fe2-6ced-4897-a781-bf097a8b4e62,Is every nonempty subset of a left zero semigroup also a subsemigroup?,extractive,text,math.GR,2410.23473v2,3,2410.23473v2,1,2,1,True,True,373.1
10d28566-4c39-4cb7-b081-a68973e241b4,What does the d-GSPHAR model aim to model?,abstractive,text,unknown,2410.22706v2,6,2410.22706v2,6,1,1,True,True,420.4
111b8e87-de5e-458b-8d9c-12cfd8d994d9,How does Degree Node (DN) sampling determine which nodes to sample?,abstractive,text,cs.SI,2409.06994v3,8,2409.06994v3,8,1,1,True,True,522.1
117a8a07-ce3a-49d6-b282-e05e5f62a94e,Is detailed justification required when refining problems during the curation process?,extractive,text,cs.CV,2403.20331v2,21,2403.20331v2,21,1,1,True,True,418.5
11a08b2c-4485-461f-bb2c-44ffed443c02,Does the band structure show instability towards an excitonic insulator state?,extractive,text-image,quant-ph,2409.12237v2,9,2409.12237v2,9,1,1,True,True,399.5
12623984-b54f-4ae7-877c-b4abffd3cf67,Is statistical consistency considered important in frequentist statistics today?,extractive,text,stat.OT,2410.11399v2,5,2410.11399v2,5,1,1,True,True,379.8
130449f8-08d3-498c-a581-d63de91cbdbd,How does magneto-optical trapping differ from other methods used in creating Cs+ ion beams?,abstractive,text,cond-mat.mtrl-sci,2412.09374v3,1,2412.09374v3,1,1,1,True,True,391.7
1397c4b7-cff8-4f46-90a1-9eacfc039c7d,Can the Elastic Net penalty induce sparsity?,extractive,text,math.ST,2411.17395v2,6,2411.17395v2,5,2,1,True,True,383.0
13ab2dab-ccc6-4066-94b3-0ae279a51811,What challenges do university CS programs face with the rapid pace of technology adoption?,abstractive,text,cs.GL,2407.02591v1,0,2407.02591v1,1,2,1,True,True,377.8
13d172a6-bb0f-44ee-9b8a-09d3abab15ac,How does dynamic similarity analysis (DSA) extend generalized shape metrics in evaluating system-level dissimilarities?,abstractive,text,math.DS,2409.18681v6,1,2409.18681v6,1,1,1,True,True,410.9
13f93f77-a4ca-46fb-97ca-fded27e03f68,What happens to the retarded metric perturbation on past null infinity and past horizon?,abstractive,text,gr-qc,2406.10343v4,12,2406.10343v4,12,1,1,True,True,376.1
146bd47a-776e-4eed-a846-b4d4a7ae4c40,How does supervising different numbers of non-frame atoms influence predicted model likeness such as RhoFold?,abstractive,text-table,q-bio.BM,2406.13839v3,19,2406.13839v2,19,2,2,True,True,374.0
14e6d3ee-a220-431f-a5e3-8f195b54082a,Are classical machine learning methods easily applicable to omics-based time series data?,extractive,text,q-bio.OT,2411.10511v4,10,2411.10511v4,10,1,1,True,True,414.6
1634306c-bba3-4c63-a7aa-76ae9abaa3b2,"Are higher values better for SI-SDR, SDR, PESQ, and STOI metrics?",extractive,text,eess.AS,2404.18501v3,20,2404.18501v3,23,3,1,True,True,401.7
17d6d332-c2cc-46b2-947e-e05b888d0f42,How much memory does each Nvidia GTX 3090 Ti GPU have?,extractive,text,stat.ML,2410.12036v2,26,2402.16731v7,23,2,2,True,True,371.4
186af622-3c72-46b6-b95a-5127ddeb0c80,Was Uzi Pereg supported by any program related to quantum science and technology?,extractive,text,quant-ph,2412.17119v3,23,2412.17119v3,23,1,1,True,True,379.1
19347c88-388b-4472-927e-1933e612c9c3,What external inputs are incorporated into the final load forecast?,extractive,text-image,stat.AP,2405.17070v2,9,2405.17070v2,9,1,1,True,True,407.0
19578063-0527-4bcd-9cfc-3ce256e4664e,How do recent studies suggest neural networks exhibit similar dynamics across tasks?,abstractive,text-image,stat.ML,2410.05454v2,1,2410.05454v2,7,2,1,True,True,506.2
19b5550b-f7f8-495b-babc-d51d07401242,How does dipole conservation affect spin chain dynamics?,abstractive,text,cond-mat.stat-mech,2411.03309v2,2,2411.03309v2,8,2,1,True,True,521.3
19bb974f-1464-47d2-92d6-905a8315b7b9,What role do two-dimensional nanomaterials play in developing new transistor technologies?,abstractive,text,cond-mat.mtrl-sci,2411.07216v2,0,2411.07216v2,0,1,1,True,True,382.1
19ce7868-ff59-4ed3-879f-03bc70226e2c,How do extensions of companionships and conjunctions relate to functor double Segal spaces?,abstractive,text,math.CT,2408.14335v2,0,2408.14335v2,0,1,1,True,True,396.8
1a5ed0aa-16e4-40a7-a9b9-b10f8e798108,Which cluster shows a significant drop in bike rides during weekends?,extractive,text-image,stat.ME,2407.13314v3,19,2407.13314v3,19,1,1,True,True,365.5
1aca1574-1fbc-4538-8986-c8f9932ff03a,What technology is being integrated with U-space to support unmanned aerial vehicle services?,abstractive,text,cs.IT,2411.09666v2,14,2411.09666v2,1,2,1,True,True,393.1
1b4d4eeb-b2d9-4e5b-b3e5-fd52badb184c,Under what condition does a complex balanced CRN mimic an irreversible CRN with absolute concentration robustness?,extractive,text,q-bio.MN,2401.06987v2,14,2401.06987v2,14,1,1,True,True,403.5
1b4dde85-61dc-4931-8528-50c07116656d,What is the accuracy of the base NLP model for market return direction?,extractive,text-image,q-fin.CP,2412.07587v6,21,2412.07587v6,21,1,1,True,True,389.7
1b5daf91-5b36-4010-884f-56a59dce3d2e,What does holding the estimated coefficients of pressure variables at zero imply in alternative competition settings?,abstractive,text,econ.GN,2409.13333v2,17,2409.13333v2,17,1,1,True,True,365.2
1b6d7957-06d4-4a38-b6a3-0bb0ea864dea,How does introducing bias in the Werner density matrix affect entanglement?,abstractive,text,physics.gen-ph,2409.18495v2,1,2409.18495v2,4,4,1,True,True,424.0
1c118bec-8759-4e05-b680-905dc07caf36,What method is proposed to improve the long-term behavior of satellite orbit solutions?,abstractive,text,nlin.CD,2409.14246v2,20,2409.14246v2,15,2,1,True,True,382.1
1c245090-64e7-4184-91b4-d1b21d5b035e,Are TE polarization resonances associated with electric dipole Mie modes?,extractive,text,q-bio.QM,2412.20245v4,4,2412.20245v4,4,1,1,True,True,381.2
1cbc50c6-69e9-4f6f-ac02-b5b6213227ad,How do AutoStep and fixed step methods compare in terms of jump distance versus initial step size?,abstractive,text-image,stat.CO,2410.18929v2,25,2410.18929v2,14,10,1,True,True,367.6
1d585069-a446-47fa-a74d-0387316ea330,In what areas do syllabic embeddings show potential for improvement based on current research findings?,abstractive,text-table,cs.CL,2410.07168v2,30,2410.07168v2,33,,1,False,True,377.4
1de4b475-6563-4e39-8908-bfcebcdb36cf,What is the maximum likelihood decision rule $f^{*}$?,extractive,text,econ.EM,2412.16352v2,9,2412.16352v2,9,1,1,True,True,530.9
20292ce2-e24c-4179-a55a-6754dee9428f,Can next-generation high-energy neutrino telescopes constrain cosmic neutrino background overdensities?,extractive,text,hep-ph,2405.14946v2,2,2405.14946v2,2,1,1,True,True,380.1
203223bd-6962-4f72-90f4-b9448bf24c54,Does the pricing structure of Uniswap V3 include a rebate segment?,extractive,text,q-fin.PR,2411.12375v3,5,2411.12375v3,5,1,1,True,True,415.0
20cfc51e-30bc-4f29-b23e-bebee9b5fe78,How do non-autoregressive accent conversion models improve pronunciation for second-language English learners?,abstractive,text,cs.SD,2410.14997v2,1,2410.14997v2,10,2,1,True,True,432.8
2109c438-8756-4a2e-9bd1-dc2444f520a5,Is there a point where both velocities are equal on the ascent-time surface plot?,extractive,text-image,physics.class-ph,2403.03363v6,5,2403.03363v6,5,1,1,True,True,394.3
21d3eb86-fbd6-44fc-9da0-8250a3f5f8aa,Do both diagrams of Borromean rings have identical structures?,extractive,text-image,math.GT,2501.00225v2,2,2408.06050v2,39,2,2,True,True,378.7
23610d31-90ff-4b27-9b2a-250f6cbe2078,What are some computational results achieved using the quantum exceptional polynomial?,abstractive,text,math.QA,2402.03637v2,0,2402.03637v2,0,1,1,True,True,529.1
24473661-a543-4a6a-906d-b7d8cfd27bd9,Which function distributes workload by regular grid areas?,extractive,text-table-image,cs.DC,2412.11355v2,8,2412.11355v2,8,1,1,True,True,353.0
245a7938-23b1-473b-9990-f522aeb6f7a4,Why are first-order models valuable for estimating the performance impact of new VM features?,abstractive,text,cs.AR,2403.04635v2,28,2403.04635v2,28,1,1,True,True,371.2
2500fa5e-51d0-4096-b639-fc3f0a7fb951,How do surrogate losses aid in training CNNs for image classification?,abstractive,text,math.ST,2404.07128v3,1,2404.11929v3,4,2,2,True,True,360.0
257ec56e-d63d-45b6-9a17-3e598a98a916,Why do singularities form in viscosity solutions of HJB equations?,abstractive,text,math.OC,2403.05412v2,1,2403.05412v2,1,1,1,True,True,398.8
25b88544-0add-4173-ae18-df88a6a200ce,How does bypass angle affect phase delay in LVA for angles greater than or equal to $60^\circ$?,abstractive,text,physics.bio-ph,2409.02476v2,14,2409.02476v2,14,1,1,True,True,417.7
278bbe85-14b2-439f-9312-002c4303d573,How do privacy guarantees differ between Poisson subsampling and sampling without replacement in differential privacy mechanisms?,abstractive,text-table-image,cs.CR,2405.20769v2,6,2405.20769v2,6,1,1,True,True,419.3
283afa84-f0c8-40a7-a6f1-fb2a6b97c761,How does uncertainty in data affect standard quadratic optimization problems?,abstractive,text,math.OC,2411.14884v3,1,2411.14884v3,1,1,1,True,True,256.0
29ac428d-cac1-4e2c-89d4-88dedbd306cd,Does CHCDS require numerical integration?,extractive,text,stat.ME,2406.18052v3,8,2406.18052v3,8,1,1,True,True,386.2
29e1a43f-6c2d-47ae-bc88-f1b7e2b62081,How does gauge flux attachment work within a lattice framework?,abstractive,text-image,hep-th,2410.11034v2,13,2410.11034v2,13,1,1,True,True,382.9
2b11e73d-bcfa-4b0f-882e-2fe6c67638bf,Does exceeding a crest factor of 7 indicate transient cavitation in acoustic emissions?,extractive,text,physics.comp-ph,2408.16142v4,11,2408.16142v4,11,1,1,True,True,374.7
2b4fb211-9221-4aea-ba1b-1984e9927338,How does the Indian Cooling Action Plan (ICAP) aim to reduce carbon emissions from residential cooling?,abstractive,text-image,econ.GN,2412.06360v4,19,2412.06360v4,19,1,1,True,True,445.6
2bac52cd-23d5-4128-a321-c325f49e59d9,What is a pitchfork bifurcation in dynamical systems?,extractive,text,math.PR,2410.15824v2,8,2410.05454v2,23,,,False,False,381.4
2bb2ec71-75f7-4a9f-ba94-0037cafcae02,How can multivariate time series data be used to construct connectivity graphs?,abstractive,text-image,q-bio.NC,2409.09862v3,120,2409.09862v3,122,4,1,True,True,513.3
2cc9bf85-7258-45b7-b8a8-e1888c793c1f,What type of processes do individual idiosyncratic noises form in classical mean field games?,abstractive,text,math.OC,2403.01012v4,4,2403.01012v4,0,,1,False,True,362.4
2e967b95-85ff-4e07-93c7-8041e7471aee,What is the significance of polarizability in dysprosium Bose-Einstein condensates?,abstractive,text-table-image,cond-mat.quant-gas,2403.18677v2,3,2403.18677v2,0,2,1,True,True,238.0
2e9af159-ba71-4677-9ae4-c8566d39c535,Why might multiple solutions exist when identifying parameters in collision models?,abstractive,text-table-image,physics.class-ph,2410.08147v8,7,2410.08147v8,8,7,1,True,True,384.9
2fab68df-dea2-46a3-8088-ca5e18ea843c,How does Pygen aim to enhance the process of Python package creation?,abstractive,text,cs.SE,2411.08932v2,1,2411.08932v2,6,2,1,True,True,254.8
30bcecd3-e89b-4019-8a20-9fcd8e8e5f39,What challenge is observed in real retrieval when instructions are applied?,abstractive,text,cs.IR,2410.23841v2,24,2410.23841v2,11,2,1,True,True,365.3
31aeb4fd-3d62-4f32-aed9-70861153bacc,Are pairwise tests conducted if an ANOVA test result is significant?,extractive,text,q-fin.RM,2411.05803v4,16,2411.05803v4,16,1,1,True,True,527.5
3264f287-d938-4d3a-82f0-d40e351ad8dd,Does the multi-grid approach depend on specific line shapes?,extractive,text,astro-ph.EP,2411.03418v4,7,2411.03418v4,7,1,1,True,True,419.6
32f6d434-9535-4eb6-98ca-9dbf9738236b,What challenges arise with adaptive adversaries in differentially private systems?,abstractive,text,cs.DS,2411.03299v2,1,2411.03299v2,1,1,1,True,True,510.3
33297ca3-967b-41bc-97e9-d5fda33fef79,What is a loose Legendrian?,extractive,text,math.SG,2411.19887v2,7,2411.19887v2,5,2,1,True,True,286.2
333044bb-d23c-4721-a032-dc9c3309a5b1,What determines where workers choose to live in a long-run spatial equilibrium?,abstractive,text,econ.TH,2404.09796v2,3,2404.09796v2,3,1,1,True,True,363.6
35fb10a1-19c7-4c45-9e09-ccb1fc902db6,What are some applications of proving strict comparison in \(C_{r}^{*}(G)\)?,abstractive,text,math.OA,2412.06031v2,0,2412.06031v2,0,1,1,True,True,377.5
36042a30-3e61-46a7-a620-84bef1116ffa,What are co-risk measures and how do they improve upon traditional risk assessments?,abstractive,text,q-fin.RM,2411.13384v2,1,2411.13384v2,1,1,1,True,True,375.7
36749e39-1f18-4261-bf7c-48d6928f64f6,Are lightweight architectures capable of producing a diverse array of sounds using interpretable parameters?,extractive,text,cs.SD,2406.05923v2,4,2406.05923v2,4,1,1,True,True,368.5
3805a2f5-18a0-45d8-a291-dafef63b84bc,What does the Strict Instruction Compliance Ratio (SICR) metric evaluate?,extractive,text,cs.IR,2410.23841v2,5,2410.23841v2,5,1,1,True,True,381.8
381dac10-9761-40df-af90-b6872eb0d21e,How do chaos and entropy contribute to the stability of living systems?,abstractive,text,q-bio.SC,2412.02459v2,0,2412.02459v2,4,2,1,True,True,587.7
38895aa2-f373-49b6-8e2f-92fb64dd4258,Is further investigation needed to assess the effectiveness of QRC techniques on medical images after classical pre-processing?,extractive,text,q-bio.OT,2411.10511v4,11,2411.10511v4,11,1,1,True,True,473.7
38db190b-c99e-44da-9735-bb5817caa4d8,What is the no-go zone in sailboat trajectory optimization?,extractive,text-image,math.OC,2404.03773v2,1,2404.03773v2,1,1,1,True,True,381.6
3968f493-a170-431e-9a8d-7eccdd4a9799,Does accelerated RPCholesky have a lower error ratio compared to block RPCholesky?,extractive,text-table-image,math.NA,2410.03969v3,1,2410.03969v3,1,1,1,True,True,390.5
39945ff2-88f3-4412-a70f-a53d381723f3,Why is hierarchical alignment important in molecule-text integration?,abstractive,text,q-bio.QM,2404.16880v3,16,2404.16880v3,1,10,1,True,True,340.7
3a3deb47-6b92-40b7-b4a0-eee9c3295b44,What is the purpose of using atmospheric motion vectors (AMV) in center-fixing methods?,abstractive,text,physics.ao-ph,2409.16507v2,5,2409.16507v2,5,1,1,True,True,430.3
3b0f3fea-70d9-4d24-bbc5-96cf7ce794af,How many backbone atoms does an RNA nucleotide contain compared to proteins?,extractive,text,q-bio.BM,2406.13839v2,3,2406.13839v2,3,1,1,True,True,383.3
3b165412-bc10-4952-b4ba-d3b82b16e9cd,What is the KSESS diagnostic used for in statistical analysis?,extractive,text-image,stat.CO,2410.18929v2,26,2410.18929v2,26,1,1,True,True,355.1
3b4f92fc-973e-45a6-9bcf-d5c1b33447d6,How do randomized streaming algorithms differ from deterministic ones regarding space complexity?,abstractive,text,cs.FL,2402.13385v2,0,2402.13385v2,2,6,1,True,True,414.6
3bef9369-7028-4c0b-ae43-48b82ef781db,Were online mapping tools used for indoor or outdoor distance measurements?,extractive,text,cs.NI,2410.24112v2,5,2409.06948v2,16,3,2,True,True,409.7
3c46cf58-1e36-472d-8652-8425e6360b00,What happens to coma lobes as beams move further from the feed array center?,extractive,text-image,astro-ph.IM,2412.02582v2,13,2412.02582v2,13,1,1,True,True,380.0
3c48e345-630b-457f-874b-a3066e5a43f9,How does the Job Training Partnership Act (JTPA) relate to dynamic treatment regimes in education?,abstractive,text-table-image,econ.EM,2403.00422v2,18,2403.00422v2,18,1,1,True,True,382.5
3c7df663-8b96-4c93-98a3-da131d9cadb2,Why is convergence to the truth significant in evaluating scientific inference methods?,abstractive,text,stat.OT,2410.11399v2,1,2410.11399v2,3,3,1,True,True,261.2
3c819e80-2b92-43c1-88f8-ea352f7bea33,Do feedback Nash equilibria map game states to players' controls?,extractive,text,cs.GT,2410.16441v2,2,2410.16441v2,4,2,1,True,True,521.0
3dcede6c-123b-4e43-ba8d-2c49ce5ffea0,Why might the issue with Agda's termination checker be considered beneficial from a mathematical perspective?,abstractive,text,cs.LO,2409.02603v3,11,2409.02603v3,11,1,1,True,True,384.6
3de6cbbd-b28f-49f6-9e13-45df9264bb07,What were the long-term socio-economic effects on individuals who experienced centralized admissions during their schooling years in Japan?,abstractive,text-table-image,econ.GN,2402.04429v3,23,2402.04429v3,1,,1,False,True,268.2
3df76f98-f105-4ff1-948d-d583b641b816,How does the equivariant filter improve LiDAR-Inertial Odometry performance?,abstractive,text,cs.RO,2409.06948v2,17,2409.06948v2,18,10,1,True,True,383.6
3e072125-e130-438c-b264-0bfb622cdf65,How are foreground and background predictions decoupled in binary classifiers?,abstractive,text,cs.CV,2410.11774v2,9,2410.11774v2,9,1,1,True,True,415.8
3e7791ee-e9fa-4553-a724-f0cb2a4eaa5e,How are non-frame atoms in RNA structures positioned using torsion angles?,abstractive,text-table-image,q-bio.BM,2406.13839v3,18,2406.13839v3,18,1,1,True,True,411.2
3f2fb6cc-4979-44d5-9e80-364e66cfb24d,"What are the key properties of strongly-correlated materials like $\mathrm{Ca}_{2} \mathrm{CuO}_{3}$, $\mathrm{WTe}_{2}$, and $\mathrm{SrVO}_{3}$?",abstractive,text-image,quant-ph,2409.12237v2,7,2409.12237v2,7,1,1,True,True,386.5
